Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
President/CEO,,
Managing Director,,
Senior Regulatory Affairs Specialist,,
Manufacturing  Manager,,
Dr,,
Quality & CM Operations Manager,,
DIR MFG,,
Vice  President Of operations,,
Engineer,,
Director Compliance,,
Quality Engineer & Manager,,
Director of Quality Control/ R & D,,
Director of Compliance,,
SpÃ©cialiste en Assurance QualitÃ©,,
Dir of Regulatory Affairs,,
"Vice President, Operations",,
Owner/CTO,,
Quaity Specialist,,
eQMS Project Manager,,
Senior Director Quality Assurance,,
Quality Assurance Specialist,,
Quality Environmental Technician,,
Principle Quality Specialist,,
Sales Director,,
Project Manager,,
Sr Quality Manager Project Management,,
Business Systems Analyst,,
Quality,,
"Systems Admin - Senior Specialist, Quality Applications",,
QA supervisor,,
Technical Director,,
IT Compliance Manager,,
Chief Executive Officer,,
Corporate Regulatory Compliance Manager,,
President and Principal Consultant,,
Development Manager,,
Sr. Project Manager,,
Vice President-Logistics/Traffic,,
Sr. Manager Operations,,
QA/RA Manager,,
DGM,,
CEO,,
"Sr. Compliance Auditor, Quality Assurance",,
Analytical Strategy Lead,,
Vice President,,
Senior/Principal Engineer,,
Q A Manger,,
QA Officer,,
CSO,,
Senior Vice President of Information Technology,,
Manager,,
Vice President Quality,,
Validation,,
Sr RA Director,,
Scientific Advisor,,
Batch Record Review Supervisor,,
Sr Quality Systems Compliance Manager,,
Research Engineer,,
"Operational Centre Manager, HPFB INSPECTORATE",,
Information Technology Manager,,
INVOICE SUBMITTAL,,
Office Manager,,
Owner/Sr. Consultant,,
Compliance Officer,,
IT QMS Manager,,
truong tran,,
President and CEO,,
General Manager,,
Quality Associate,,
Quality Assurance,,
C.i/Quality Facilitator,,
Sr. Software Compliance Engineering Specialist,,
FDA Senior Validation Engineer  (Thermal Monitoring Systems),,
"Director, Quality Assurance",,
Global Quality Manager,,
QA Manager/DPO,,
Quality Assurance Section Head,,
Business Development Representative,,
"Manager, Quality Assurance",,
Senior Quality System Specialist,,
Quality Manager Operations,,
"Technical Director, Food Safety",,
Principle RAS,,
SVP & Head of Quality,,
"Director, Quality",,
"Manager, QC",,
Director Quality,,
Senior Quality Assurance Specialist & Corporate Compliance,,
Quality Compliance Staff,,
Technical Services Systems Specialist,,
Viral Vector Cell Line Development Principal Scientist,,
"Manager, Quality and Product Assurance",,
Senior Quality Advisor,,
Technician/Engineer,,
Group Quality Manager,,
"Manager, Electrical & Automation",,
QMS Advisor,,
Quality Specialist,,
Head of Information Technology (Applications),,
Director IT - North America Site Operations Manufacturing & R&D,,
Senior QA Manager,,
"Executive Director, Manufacturing Quality Assurance",,
Method Development and Validation Technical Reviewer,,
Associate Director Manufacturing,,
Product Quality Manager,,
Quality Assurance Engineer and Internal Auditor Lead,,
"Senior Manager, Quality",,
Head-Analytical Development,,
director of production,,
Principal Product Engineer,,
"Vice President, Supplier and Contract Manufacturing Quality",,
Materials and Manufactured Chemistry Manager,,
Scientist,,
"Vice President, Manufacturing Operations",,
"Manager, Manufacturing Engineering & Maintenance",,
"Director, QA GMP",,
Director of Information Technology,,
"Associate VP, Information Technology & Information Systems",,
"Manager, Quality",,
Program Management Office Lead,,
Sr. Manager Global Quality Syatem,,
National Manager Operations,,
Senior QC Analyst,,
"PD Director, Quality Systems",,
RA Expert,,
"Senior Director, Quality Assurance",,
"Scientist, Director of Biotherapeutics",,
"Manager, Operations",,
QP,,
Supply Chain Manager,,
"Medical Director, Microbiology",,
Head Of Quality Assurance,,
Director Information Technology Operations,,
Training Consulting,,
Faculty Lecturer,,
Executive- Regulatory Affairs,,
QC Microbiology Specialist,,
"Project Manager, Quality",,
Project Lead,,
Assistant Vice President Operations,,
Operations Director,,
Hardware Control Engineer,,
Head of IT,,
"Manager, Iso Quality",,
Supplier Quality Management and Data Integrity,,
Operations Manager,,
"Architecture, Operations & Strategy Manager, Clinical Systems",,
SENIOR BUSINESS ANALYST,,
Post-Market Surveillance Manager,,
Integrated Systems Auditor,,
"Manager, Contract Manufacturing",,
"Director, Marketing & Corporate Development",,
"Manager, IT Quality Systems",,
"Manager, Manufacturing",,
Quality Manager for Supply Chain,,
Operations & IT Director,,
"Director, Head of Global Automation",,
Manager of Manufacturing,,
R&D Manager,,
"Senior Manager, Manufacturing",,
Engineering & Maintenance Director,,
QA Lead,,
Assistant General Manager QA,,
Clinical Trials Consulting,,
Quality Systems Engineer,,
Chief Technical Officer,,
Administration Assistant,,
External Temporary Worker,,
"Assistant Manager, Quality Assurance",,
Director QA RA,,
"Senior Manager, External Manufacturing",,
Assistante QualitÃ© Et Affaires RÃ©glementaires,,
Vice President Information Technology,,
Manufacturing Head,,
Manufacturing,,
"Senior Manager, Quality Assurance & Management ) Representative",,
Manager Production,,
Senior Vice President Quality and Regulatory,,
Scientific Director,,
Entrepreneur,,
Vaidiyan,,
Data Protection Officer,,
Principal Consultant,,
Senior Engineer,,
"Vice President, Quality",,
QARA Manager,,
Quality Assurance & QMS Manager,,
"Executive Director, MTM",,
Head of Corporate Manufacturing and Laboratory IT,,
Global Head of Quality,,
Chief Information Officer,,
Quality Coordinator,,
"Senior QC Analysts, Microbiology",,
Manufacturing Quality,,
Information Technology & Computerised System Validation Officer,,
"Director, Manufacturing",,
Process Systems Engineer,,
QA Specialits,,
Director of IT,,
IT Infra,,
Posdoctoral Researcher,,
Client Projects Manager,,
Consultant/Trainer Specialist II,,
Intern for Quality,,
"Senior Director, Process Engineering",,
Director of Development,,
Process Development Specialist,,
QA & Environmental Manager,,
"Associate Director, Validation, Global Quality",,
Life Sciences Regulatory and Quality Lead,,
Compliance Manager,,
Food Safety Quality System Specialist,,
Senior Manager Manufacturing and Development,,
Head of Digital Operations,,
Vice President Of Quality,,
Director Of Manufacturing,,
Senior Product Manager,,
"Manager, Delivery",,
"Manager, Business",,
"Senior Director, Information Technology",,
Global QMS Lead,,
"Head Director, Ot For Region, , Lonza (APAC)",,
Quality Consultant (LIB Therapeutics),,
Production Manager,,
Document Control Manager,,
Head of Quality Projects | Group Quality Assurance,,
QC Manager,,
Business Development Manager,,
"Director, External Manufacturing",,
Department Manager,,
Biochemist,,
"Director QA,Ra",,
Quality Assurance Associate,,
Maintanance Technician,,
"Director, Information Technology",,
Director Commercial Operations,,
Senior consultant Life Sciences,,
Supplier Quality Engineer,,
"Head Senior Director, Global Pharmacovigilance & Regulatory Quality Assurance",,
Marketing Director,,
"Compliance and Logistics, Senior Officer",,
"Senior Quality Assurance Manager and Responsible Person, Europe",,
"Manager, Information Technology & Make IT Site For Pomezia & Madrid Leader",,
Marketing Manager,,
Reviewer,,
QA Operations Supervisor,,
Office-Compliance Manager,,
Advisory Consultant,,
"IT, Clinical, Application Specialist",,
"Manager, Quality Systems and, Data Integrity Champion (Biologics)",,
"Vice President Commercial, APAC/China",,
Regulatory Affairs Executive,,
Vice President of Quality Assurance,,
Senior Director Information Technology,,
Quality Consultant,,
Cell Therapy Advanced Specialist-Quality Co-Ordinator,,
Assistant Scientist,,
Data Scientist,,
Associate Scientific Fellow,,
Quality and Regulatory Compliance Manager,,
Quality Systems Supervisor,,
Director of IT Architecture,,
Retired Mechanical Engineer - Acting Consultant,,
Physician,,
Senior Manager Chief Marketing Officer Quality Operations EMEA,,
Director of Quality & Regulatory Affairs,,
Consultant and Compliance,,
"Supervisor, Regulatory Affairs",,
"Project Manager, Automation Engineer",,
Academic,,
Senior Field Application Scientist,,
Gosilico Sales Specialist,,
"Manager, Quality Assurance & Regulatory Affairs",,
Forensic Services Supervisor,,
"Manager, Production Api Hot Products",,
Regulatory Affair Specialist,,
Quality Compliance Manager,,
Senior Manager,,
Quality System Coordinator,,
Business Development Consultant,,
Sr. Director R&D Quality Assurance GCP,,
"Problem, Escalation and Change Management",,
Quality and Regulatory Associate (QARA Associate),,
"Manager, Quality & Compliance",,
Member of Group Management Board | Chief Technology Officer,,
Senior Quality Engineer,,
Regulatory Specialist II,,
"Head Vice President, Quality Operations Api",,
"Executive Director, Information Technology",,
Manufacturing Engineer,,
Sustaining Engineering Manager,,
Regulatory Affairs & Quality Assurance Program Director,,
"Manager, Continuous Improvement",,
QA Regulatory Compliance Specialist,,
"Director, Product Steward, Manufacturing Sciences & Technology",,
Other,,
Head of Research (Life Sciences),,
Production Manager Sr,,
Safety advisor (below Director),,
"Quality Manager, Distribution",,
"Director, Marketing Operations",,
"Director, Manufacturing Engineering & Supplier Engineering",,
Quality Officer,,
Process Improvement Manager,,
Service Provider/Consultant,,
Global Head of Manufacturing and Repair,,
Senior Manager Quality Assurance,,
QC Specialist,,
Professor,,
"Director, Design Quality",,
"Associate Director, Manufacturing (US)",,
"Head of Operations and Manufacturing, OxDevice Ltd.",,
IT Lab Systems Administrator,,
VP of Corporate Development.,,
Highest Level Executive,,
"Regulatory Compliance, Quality Compliance & Legal Head",,
Business Controller,,
Director of Global Quality Systems,,
Team Lead,,
Regulatory Affairs Manager,,
"QA Director, Research & Development",,
"Head of Quality Systems, QP",,
Vice President of Operations,,
Senior eQMS Administrator,,
Quality Control Head of QA (Api & Formulation),,
"Manager, Production Quality",,
"Manager, Quality Control",,
ã‚·ãƒ‹ã‚¢ç¤¾å“¡,,
Quality Assurance Engineer,,
Sales Operations Manager,,
QA Systems Officer,,
Operations Supervisor,,
Quality Assurance Assistant,,
Senior Process Engineer,,
eQMS Lead IT Administrator,,
Medical Device Consultant,,
Regulatory Specialist,,
Team leader(í•©ì„±ì˜ì•½ì œí˜•íŒ€),,
Research Development Quality Engineer,,
"Director, Continuous Improvement",,
Director Regulatory Affairs,,
Quality Analyst,,
Director of Data and Data Science,,
"Co-Founder & Director, Scientific",,
Senior Quality Manager,,
Chief Revenue Officer (Alliances & Marketing),,
Senior Trust Services Partner,,
Continuous Improvement Coordinator at Doncasters Group,,
Drug Safety Information and Qppv Head,,
Associate Director,,
COO,,
Data Quality Process Manager,,
Operations Support / Quality Manager / Procurement,,
Quality Director at Flex,,
"QA Manager, Solutions (US)",,
"Director, Process & Automation",,
IT Q&C Systems Technical Specialist - Lab Systems,,
Commissioning and Validation Team Leader,,
Digitalization Manager,,
Head of Validation,,
Systems and regulatory affairs manager,,
QC Director - Microbiology,,
Quality Assurance Consultant,,
Program For The Brewmaster Program Coordinator,,
Information Technology Operations Manager,,
"Global Quality Engineering, Site Lead",,
Quality Control,,
Vice President RA/QA Diagnostics,,
Director Business Operations,,
Lab and industrial services sales consultant.,,
Go To Market Specialist. Life Sciences,,
QA Academic,,
Quality Control Manager,,
Director ClinicalSupply Systems,,
Branch Manager,,
"Senior Director, Tech Ops",,
"Project Manager, Clinical",,
Senior Manager of Business Procees Projects and Quality,,
Designer,,
Quality Assurance Compliance Specialist,,
Deputy Manager,,
Tuas I Process Engineer,,
Software Quality Assurance Engineer III,,
Global Head Quality and Regulatory,,
à¸—à¸±à¹ˆà¸§à¹„à¸›,,
QA Tech,,
Sr. Quality Inspector,,
"Manager, DevOps & Quality Assurance Engineering",,
Chief Operations Officer,,
Head of Planning,,
Chief Scientist,,
Manager Validation,,
Principle Quality Engineer,,
"Director, Regulatory Affairs and Quality Assurance",,
Quality Assurance Manager - CMO,,
Global Quality Glp Auditing & Compliance Lead,,
CGT BUSINESS CONTINUITY PROCESS OWNER FOR MATERIAL CONTROL,,
Product Development Specialist,,
Global Apparel Compliance Leader,,
"Vice President, Marketing and Communications",,
Quality Control Laboratory Manager,,
"Senior Manager, Regulatory Affairs",,
Direttore I.I.S..S.R.,,
"Director, Quality Systems Compliance",,
Team Lead Business Analyst,,
"Director, Environmental Safety and Health",,
Director of Quality.,,
Head of Product Management Medical,,
Sofia Maria Prentou Marketing and Communications Specialist,,
Managing Director and Co-Owner,,
Continuous Improvement specialist,,
"Senior VP, Operations",,
Researcher/Developer,,
Quality Transformation & Strategy of Ipsen Head,,
Quality Engineering Technician,,
Affiliate Consultant,,
Research & Development Senior Mechanical Engineer,,
Head of Quality.,,
"Project Manager, Supply Chain",,
"Manager, Technical Operations",,
"Manager, Production",,
"Project Manager, Information Technology",,
Compliance and Quality Assurance Technician,,
"Head of Marketing, Business Development & Key Account",,
Senior Quality Associate,,
Director of Quality Assurance,,
"Supervisor, Quality Assurance",,
Principle Q&R Global Auditor,,
Validation Consultant.,,
Quality Docmentation Specialist,,
"Senior Director, Operational Excellence",,
Validation Engineer,,
Executive Director,,
Regional Compliance Leader,,
Validation Supervisor,,
Director of Plant Operations,,
QA Specialist,,
Senior Structural Engineer,,
Chief Quality Auditing Specialist,,
Quality Lead.,,
Director of ICT,,
Corporate QA Manager,,
"Senior Manager, Corporate Quality & Regulatory",,
Capture Manager,,
Quality Assurance / Food Safety Manager,,
Director of Op and Interim Quality Guy,,
Facilities Manager,,
"Manager, Business Process",,
"General Manager, Customer Solutions and Operations",,
"Manager, Supply Chain Operations",,
Sales Analyst,,
"Manager, Office Operations Aus & Nz",,
Volunteer Responder,,
QHSE Manager,,
Director of Operations,,
Assistant Manager,,
Microscopy & Imaging Specialist,,
"Senior Manager, Technical Operations",,
Head of RA,,
Managing Member,,
Biopharmaceutical Quality Control.,,
Senior Safety Analyst,,
"Manager, Facility Operations",,
Industrial Manufacturing Engineer,,
Director of Global Technical Training & Operations,,
Software Engineer,,
EHSQ Manager,,
Business Challenge Solver,,
"Director, Business Process",,
Quality Lead and Consultant,,
Senior Cyber Security Analyst,,
"Senior Manager, Corporate Operations System",,
Head of Regulatory Affairs and Quality,,
Head of Global IT Quality & Compliance Operations,,
"Project Manager, Process",,
University Coordinator,,
Food Safety Consultant,,
Sales Executive,,
"Director, R and D and Quality",,
"Supervisor, Manufacturing",,
Data Consultant,,
Lead - QMS,,
Director of RA/QA at North American Rescue (a Henry Schein company),,
Quality Director,,
Head of Safety.,,
Quality Team Lead,,
Document Control Coordinator,,
Senior Dynamics Gp Systems Administrator,,
"Senior Manager, Performance Engineering",,
Laboratory Technician,,
Manager Sales,,
Quality Assurance Associate II,,
"Quality Manager, Operations Quality Engineering",,
Bioprocess Manufacturing Specialist,,
"Director, Manufacturing Quality Licensing & Assurance",,
"Manager, Procurement Category and Contract Manufacturing",,
Research And Development Scientist,,
Quality Assurance at Cacades Flexible Packaging,,
Senior Director of Fabrication and Operations,,
"Vice President, Regulatory Affairs",,
Global Supply Chain Quality Director,,
"Manager, Transportation Safety and Training",,
"Manager, Medical Informatics Training",,
Computerised Systems Validation Specialist,,
Senior Scientist,,
Manufacturing Technician,,
Manufacturing Operator,,
Leiter QualitÃ¤tsmanagement,,
Senior Mechanical Engineer,,
Senior Inspector,,
Campus Quality,,
"Supervisor, Production",,
"Vice President, Strategic Operations",,
Associate Director Quality Control,,
Manager of Quality Systems,,
"Metrologist, Quality Lead",,
Structural engineer,,
Principal Analyst,,
"Senior Manager, Food Safety Quality, Frozen Meals and Frozen Snacks",,
"Vice President of Quality, Science, & Regulatory Affairs",,
"Associate Director, GVP QA",,
"Manager, Customer Operations",,
IT System Administrator,,
"Senior Supervisor, Operations",,
Financial Accountant,,
Regional Operations Manager,,
Cleanroom Operator,,
"Manufacturing Senior Manager, ERP",,
Quality Control Analyst-Microbiology,,
Co-Founder & Vice President,,
Operations Systems Specialist,,
Regulatory Affairs Intern,,
Email Manager Marketing,,
Postdoctoral Researcher,,
Biomedical Engineer,,
"Director, Services Strategy, Biomonitoring",,
"Manager, Business Reverse Logistics",,
"Director, Operations",,
"Manager, National Operations",,
Injectable Drug Product Development Scientist III,,
"Principal Engineer, Additive Manufacturing, Advanced Operations",,
Lead Project Advisor,,
Pharm Production Supervisor,,
Global Lead Laboratory Systems and CSV Technology,,
"Director, Gxp Audit Program",,
Corporate Supplier Quality Engineering Manager,,
Principal Security Lead,,
Senior Development Chemist,,
Product S,,
Product Introduction QA Specialist,,
VP of Operations,,
Quality Manager.,,
Solutions Engineer,,
Head of Engineering,,
Quality Governance Lead-Quality Governance and Organizational Strategy,,
Compliance Specialist,,
Vice President Head of Quality EMEA and Sweden Supply at AstraZeneca,,
Solutions Architect,,
"Director, Advancement, Physi",,
Quality System Manager,,
Technical Translator Proprietor,,
Quality Control Analyst,,
Manager Business Development,,
"Senior Manager, Quality Assurance, Manufacturing & Supply Chain Anz",,
Information Technology Engineer,,
"Training and Compliance Managing Director, Human Resources",,
Senior Vice President Head of Regulatory Affairs and Quality,,
"Director, Therapeutic Area Quality Lead Clinical Development and Quality Operations and Research and Development Quality",,
"Manager, Academic Labs (Tri-Campus)",,
CIO,,
"National Quality Director, Nursing",,
QA Auditor,,
Biologicals Coe Analytics Technology Lead,,
Manufacturing Support,,
Digital Transformation Manager,,
"Director, Quality Control",,
Senior Paving Coordinator,,
Engineering Intern,,
"Director, Communications Spareroom",,
Lead Product Designer,,
"Director, Information Technology and Manager, Data",,
Asst manager in production,,
"Senior Staff, Manufacturing Sciences Scientist",,
Project Specialist,,
"Inspection Manager - Africa, Middle East, Asia Pacific",,
"QA Shop Floor Specialist, CTDO",,
Production Assistant,,
Quality Assurance Quality Control,,
"Director, Veterinary Medicines Registration, Manufacturing Quality and Licensing",,
"Manager, Environment, Health and Safety",,
Med-Technology Business Developer,,
Quality and R&D Specialist.,,
Lecturer,,
Production Lead Engineer,,
"Engineer III, Chemical",,
Senior Andrologist Bsc Msc,,
Project manager / Quality Assurance Manager,,
"Manager, Medical Adiministration",,
"Manager, Engineering Controls and Electrical",,
"Manager, Component Production Laboratory",,
"Director, Quality Systems",,
CTO,,
Director  Of Manufacturing,,
Perf Impvmnt Abstractor,,
"Sr. Director, Quality Affairs",,
Plant Engineer,,
"Vice President, Regulatory Affairs and QA",,
"Quality Engineer, Team Lead",,
Vice President - National Telesales Operations,,
Executive Director Head of Regulatory Affairs Digital Info and Ops,,
Associate Director - Manufacturing Sciences and Technology,,
Vice President Qualitymanagement and Technical Service,,
"Director, Solids Manufacturing and MES",,
Manager of Quality Assurance Documentation,,
Manufacturing and Quality Systems Director,,
Vice President/Executive Director,,
Training Consultant,,
VP,,
"Head Regulatory, UK",,
IT QMS Software Administrator,,
Sr. Regulatory Affairs Engineering Consultant,,
Global Product Information Security Officer,,
Chair of Advisory Panel,,
Head of Quality Control,,
Production/Operations Manager,,
ctc,,
Senior Vice President Regulatory Affairs & Quality Assurance,,
VP of Quality Initiatives,,
Associate Director Global Engineering Quality - Facilities Utilities and Equipment (FUE),,
Sr Principal Quality Manufacturing Engineer,,
Director of Formulation and Manufacturing Development,,
COO / CEO,,
Research Director,,
"Principal Product Marketing Manager, Global Product Marketing",,
Head Of Quality Assurance LIFE Plant QP QP IMP,,
Senior MasterControl Specialist,,
Director  Operations,,
"Director, North America Manufacturing",,
Regulatory Affairs Project Manager,,
Sr. Associate Quality Engineer,,
Vice President - Operations & Quality,,
"Director, Quality Assurance & Regulatory Affairs",,
Site Director Manufacturing Operations,,
Quality Manger,,
Medical Device Quality Manager,,
"Vice President, Quality Assurance & Regulatory Affairs",,
Quality Assurance Coordinator,,
"Director, Data Science and Digital Transformation",,
Analyst,,
BUS DEV MGR,,
"Director, Production",,
Vice President Manufacturing,,
Global Head Quality,,
Director of Food Safety and Compliance,,
Head of QM/QS,,
SVP,,
Dipl.Informatiker,,
Associate,,
Sr Project Manager EMEA Phama Support,,
Digital Transformation Consultant,,
"Director, Personal Health Care Quality Assurance",,
"Technical Lead, Health Care",,
Research Quality Assurance Program Manager,,
"Education Director, Compliance",,
Senior Vice President Quality,,
CRO,,
Commercial Continuity Manager,,
Sr Processcontrols Engineer,,
Business Development Mgr,,
system engineer,,
Senior Pharmacist,,
Director of Operational Success,,
"Director, Manufacturing Operations",,
Regulatory Compliance,,
Mr,,
"Director, Manufacturing - NFB",,
"Manager, Quality Program",,
Quality Assurance Support Assistant,,
Lead Engineer,,
Senior NPI Engineer,,
Executive Director Manufacturing,,
Manufacturing Supervisor,,
"Director, Product Quality",,
Sr. Technician,,
Quality Director Operations,,
Senior Application Specialist,,
Process Validation Engineer,,
Sr Spec IT,,
Head Qa Compliance Management,,
Pharmaceutical Assessor,,
Clinical Medical Device Safety Specialist,,
"Senior Manager, Quality Assurance",,
Sr. Corporate Director - Global Quality & Food Safety Systems,,
Project Manager Quality,,
QA Associate,,
Sr Manager Manufacturing Reliability & Projects,,
"Supervisor, Quality Compliance",,
VP Eng,,
Vice President of Manufacturing Operations,,
"Director, Quality Assurance of Operations",,
"Program Manager, GCP Software Validation",,
Quality Development & Assurance Manager,,
Quality Assurance Technician,,
"Gestionnaire de projets, science et technologie",,
Director Information Technology Infrastructure,,
Senior Vice President Head CMC Clinical and Commercial Manufacturing,,
Process Eng,,
Senior Regional Quality Manager,,
GLOBAL BUSINESS SYSTEMS PROJECT LEAD,,
"Manager, Manufacturing Engineering & Continuous Improvemnt",,
Regulatory Affairs,,
"Compliance and Quality Officer, Life Sciences",,
Sr. QMS Manager,,
Senior Quality Technician,,
Clinical Research Coordinator,,
Quality Assurance Lead,,
"Director, Quality Technology",,
Founder,,
Member Of The Board Of Advisors,,
"Chief, Quality Management Systems",,
EXPERT (RET.),,
Quality External Manufacturing Leader (Asia Pacific),,
"Manager, Business Unit",,
Supervisor,,
Head of Sales,,
Director of Engineering,,
Quality Auditing Professional,,
Chief Officer Development,,
Senior Manager-Research and Development Process Development and Pilot Plant,,
"VP Global Delivery Manufacturing, Quality, Plant Maintenance & Environmental Health & Safety Director, Information Technology",,
"Director, Corporate Quality Excellence",,
auditor,,
jdefeo@juran.com,,
VP of Continuous Improvement,,
Research And Development Manager,,
At Pharmaceuticals Supply Center Berlin Digitalization & Data Analysis Digital Project Manager,,
"Manager, Information Technology Operations & Compliance",,
Application System Administrator,,
Systems Programmer,,
"Manufacturing Engineering Director, Corporate",,
Qa Administrator,,
Site Quality Head,,
Quality & Regulatory Manager,,
Director Quality Unit Site Quality Head,,
Senior Consultant Regulatory and Quality,,
"Vice President | Operational Excellence, Quality, Regulatory Affairs, & Program Management",,
Quality and H&S Assurance Manager,,
Quality Administrator,,
Director Clinical Operations,,
New Product Development Manager,,
"Director, Quality & Regulatory Affairs",,
"Associate Director, Team Leader Clinical & Quality Systems Operations",,
Quality Assurance and Regulatory Affars Manager,,
"Associate Director, Product Owner Enabling Functions",,
VP Research and Development,,
Research Associate III,,
Global Operations,,
Booth Staff,,
QA Assistant Manager,,
Aseptic Specialist and Strategic Manager Marketing,,
ENGINEERING PROJECT MANAGER,,
QC Investigator,,
VP - Quality & Regulatory,,
Product Manager,,
Senior Analytical Chemist,,
Sr Director Manufacturing Science and Technology,,
Head of DI and CSV,,
Head of Research Digital Transformation,,
Senior Quality Assurance Engineer,,
Senior Manager  QA,,
VICE President Quality Assurance,,
MANAGER - QUALITY ASSURANCE,,
SW Software Engineer Manager,,
Head of Operational Procurement,,
AD,,
Digital Therapeutics Platform Quality Manager,,
"Senior Manager, Process Quality Assurance",,
"Global Quality Assurance and Regulatory Affairs Director,  Genomics",,
ICT Director,,
Consulting,,
Associate Director of Information Technology,,
Global Director Quality Assurance,,
Senior Scientific Advisor,,
Director of IT Operations,,
Plant Operations Manager,,
Sr. Manager,,
"Associate Director, Quality Management Systems",,
Sr Validation Engineer,,
Sr. Quality Engineer I,,
Associate Consultant,,
"Senior Marketing Manager, SME in Stability Testing Storage",,
Corporate Legal Manager,,
Lead Analyst,,
Head of Validations Department (Pharmaceutical Consultant and Validation Manager),,
"Director, Global Quality & Compliance",,
Head of Quality and Regulatory Affairs,,
"Director, Engineering",,
"Manager, Business Improvement",,
"Director, Quality and Regulatory Affairs-Biomaterials North America",,
"Associate Director, Monitoring & Continuous Improvement",,
"Director, Manufacturing Systems",,
Director of Manufacturing Operations Vertex Cell and Genetic Therapies,,
"Cell Therapy Products Leader, Senior Manufacturing Specialist",,
Medical Devices/Diagnostic Manufacturer,,
Manager of Quality Assurance and Regulatory Affairs,,
QA Principal Compliance Analyst and Auditor,,
Specialist of the Certification of Medical Devices,,
Interim Sr. Regulatory Compliance Manager,,
Muality Manager,,
Product Support Specialist,,
Executive Vice President Process Development & Manufacturing,,
CEO/Managing Director,,
"Manager, Quality Control At Fibrogen, Inc",,
Senior Consultant,,
Regulatory Manager,,
"Manager, Tissue Quality",,
QMS Admin Lead,,
"Director, Operation",,
Principal Design Assurance Engineer,,
Associate Director  Quality Systems & Compliance  Deviation Management,,
"Associate Director, Method Validation",,
"Executive Director, Process Developmen, Tdrug Substance Technologies",,
Senior Manufacturing Production Manager,,
Supply Chain Specialist II,,
"Manager Operations, Information Technology",,
Senior Design Engineer,,
Regional Quality Complaince Manager,,
"Manager, IT Operations",,
