qal_id,is_success,target_label,product_segment,title_tier,acct_primary_site_function,acct_manufacturing_model,acct_target_industry,contact_lead_title,contact_lead_id,next_stage__c,priority,acct_territory_rollup,acct_tier_rollup,solution,solution_rollup,last_tactic_campaign_channel,qal_cohort_date,cohort_date,cohort_month
a0dPQ000004H0CbYAK,0,Failure,Mx,Other,Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,Timothy Wright,0030c00002dzgebAAA,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-04-22,2025-04-22,2025-04
a0dPQ000001QjybYAC,0,Failure,Qx,Executive/VP,Diagnostic Equipment,CMO,Medical Device,VP of QA/RA,0030c00002dzlCUAAY,Recycled,Priority 2,Americas,Small,Platform,Qx,Email,2024-08-12,2024-08-12,2024-08
a0dPQ000004eONtYAM,0,Failure,Qx,Manager,Small-molecule API,CRO,Pharma & BioTech,"Project Manager, Fragments & External Projects",0030c00002eAQtjAAG,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2025-05-22,2025-05-22,2025-05
a0dPQ000000KWyDYAW,0,Failure,Qx,Manager,Dental instruments,In-House,Medical Device,RA Manager,0030c00002eAWihAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15,2024-02-15,2024-02
a0dPQ000002GxkXYAS,0,Failure,Qx,Manager,Dental instruments,In-House,Medical Device,RA Manager,0030c00002eAWihAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-11-14,2024-11-14,2024-11
a0dPQ000003rYhlYAE,1,Success,Qx,Individual Contributor,Biologic API,In-House,Pharma & BioTech,Quality Systems Analyst,0030c00002eAmqfAAC,SQO,P1 - Webinar Demo,Americas,Large,Qx,Qx,Email,2025-03-11,2025-03-11,2025-03
a0dPQ00000Af1wrYAB,0,Failure,Qx,Manager,Sterile injectables,In-House,Pharma & BioTech,"Manager, Automation Technology (APAC)",0030c00002eE3u6AAC,Recycled,P1 - Webinar Demo,APAC & Oceania,Large,Qx,Qx,Email,2025-10-23,2025-10-23,2025-10
a0dPQ00000184KPYAY,0,Failure,Qx,Manager,Specialty Chemical Manufacturing,In-House,Non-Life Science,Program Manager,0030c00002eBC0LAAW,Recycled,Priority 1,Americas,Medium,Qx,Qx,Directory Listing,2024-06-27,2024-06-27,2024-06
a0dPQ000001ZwuzYAC,0,Failure,Mx,Executive/VP,Implantable devices,In-House,Medical Device,Vice President - Information Technology Global,0030c00002fTXXkAAO,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2024-08-29,2024-08-29,2024-08
a0dPQ000004nUAmYAM,0,Failure,Mx,Other,Non-manufacturing organization,Services / Consulting,Medical Device,Principal,0030c00002fTyffAAC,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-05-27,2025-05-27,2025-05
a0dPQ000000hhphYAA,0,Failure,Qx,Director,In-vitro diagnostic (IVD) kits,CMO,Medical Device,"Director, Quality Assurance and Regulatory Affairs",0030c00002fUPFcAAO,Recycled,No Priority,Americas,Medium,Qx,Qx,Online Ads,2024-04-16,2024-04-16,2024-04
a0dPQ000001SxxRYAS,0,Failure,Qx,Individual Contributor,Small-molecule API,503B,Pharma & BioTech,North America Quality Specialist,0030c00002fSOZ5AAO,Recycled,Priority 2,EMEA,Medium,Platform,Qx,Email,2024-08-16,2024-08-16,2024-08
a0dPQ000000NKm1YAG,0,Failure,Qx,Other,Sterile injectables,CDMO,Pharma & BioTech,R&D,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ000002tXtRYAU,0,Failure,Mx,Other,Sterile injectables,CDMO,Pharma & BioTech,R&D,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Manufacturing,Mx,Email,2025-01-24,2025-01-24,2025-01
a0dPQ000004VZATYA4,0,Failure,Qx,Other,Sterile injectables,CDMO,Pharma & BioTech,R&D,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-05-15,2025-05-15,2025-05
a0dPQ000004pSO9YAM,0,Failure,Qx,Executive/VP,Surgical instruments,In-House,Medical Device,Vice President of Quality Regulatory and Operations,0030c00002gC7U5AAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2025-05-28,2025-05-28,2025-05
a0dPQ000000tfsAYAQ,0,Failure,Qx,Missing,Not Enough Info Found,In-House,Non-Life Science,Unknown Title,0030c00002gs0CTAAY,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-05-20,2024-05-20,2024-05
a0dPQ000007wkEYYAY,0,Failure,Qx,Director,Surgical instruments,In-House,Medical Device,Director of Quality and Regulatory Affairs,0030c00002hGI2jAAG,Recycled,Priority 2,Americas,Small,Quality,Qx,Email,2025-08-21,2025-08-21,2025-08
a0dPQ000009FA1tYAG,0,Failure,Qx,Director,Surgical instruments,In-House,Medical Device,Director of Quality and Regulatory Affairs,0030c00002hGI2jAAG,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,Email,2025-09-26,2025-09-26,2025-09
a0dPQ000000LIhtYAG,0,Failure,Qx,Manager,Sterile injectables,CMO,Pharma & BioTech,"Manager, Regulatory Affairs",0030c00002hqidKAAQ,Recycled,Priority 2,Americas,Medium,MISSING/BLANK,Qx,Email,2024-02-16,2024-02-16,2024-02
a0dPQ00000Eo3kbYAB,0,Failure,Mx,Individual Contributor,Not Enough Info Found,In-House,Medical Device,QA/RA Associate,0030c00002hH8GAAA0,,Priority 2,Americas,Small,Manufacturing,Mx,SEO,2025-12-16,2025-12-16,2025-12
a0dPQ000004mim3YAA,0,Failure,Mx,Manager,Biologic API,CDMO,Pharma & BioTech,Senior Quality Assurance Manager - ProcessModul,0030c00002hHDT6AAO,Recycled,P1 - Live Demo,EMEA,Medium,Mx,Mx,Email,2025-05-27,2025-05-27,2025-05
a0dPQ000002mWfZYAU,0,Failure,Mx,Executive/VP,Oral solid dosage (OSD),CDMO,Pharma & BioTech,Head of Process Engineering,0030c00002hsye6AAA,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2025-01-16,2025-01-16,2025-01
a0dPQ000001Kqt7YAC,1,Success,Qx,Manager,Not Enough Info Found,Not Enough Info Found,Medical Device,"Senior Regulatory Affairs Manager, Ypsomed USA",0030c00002hsmevAAA,SQO,Priority 1,Americas,Medium,MISSING/BLANK,Qx,Direct/Inbound,2024-07-30,2024-07-30,2024-07
a0dPQ000001PDSvYAO,0,Failure,Qx,Executive/VP,Nutraceutical manufacturing,CMO,Pharma & BioTech,Vice-President  Finance/administration,0030c00002iVNNPAA4,Recycled,No Priority,Americas,Small,Platform,Qx,Outbound Prospecting,2024-08-08,2024-08-08,2024-08
a0dPQ00000DB7BpYAL,1,Success,Mx,Other,Small-molecule API,In-House,Non-Life Science,課長,0030c00002iWnIdAAK,SQL,P1 - Webinar Demo,Japan,Medium,Mx,Mx,Email,2025-03-14,2025-03-14,2025-03
a0dPQ000002HF9ZYAW,0,Failure,Mx,Director,Secondary packaging,Distribution / Wholesale,Pharma & BioTech,Director Operations,0030c00002iXEKVAA4,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-15,2024-11-15,2024-11
a0dPQ000000BYXpYAO,0,Failure,Mx,Manager,Nutraceutical manufacturing,In-House,Pharma & BioTech,Operations   Manager,0030c00002iXKQ6AAO,Recycled,Priority 2,APAC & Oceania,Small,Mx,Mx,Email,2024-01-25,2024-01-25,2024-01
a0dPQ000001ikMjYAI,0,Failure,Qx,Manager,Radiopharmaceuticals,In-House,Pharma & BioTech,Quality  Assurance Manager,0030c00002jBGBXAA4,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-09-18,2024-09-18,2024-09
a0dPQ000000HOkHYAW,0,Failure,Mx,Manager,Implantable devices,In-House,Medical Device,National Operations Manager,0030c00002jC0hdAAC,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-02-08,2024-02-08,2024-02
a0dPQ000004OO6vYAG,0,Failure,Qx,Director,Oral solid dosage (OSD),In-House,Pharma & BioTech,"Director, Analytical Research And Development And Quality Control",0030c00002jBNSZAA4,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-05-05,2025-05-05,2025-05
a0dPQ000003a30rYAA,1,Success,Qx,Manager,Food and beverage,In-House,Pharma & BioTech,IT Manager,0030c00002jkAHOAA2,SQL,P1 - Website Pricing,Americas,Medium,MISSING/BLANK,Qx,SEO,2025-02-20,2025-02-20,2025-02
a0dPQ000000Br4DYAS,0,Failure,Qx,Individual Contributor,Diagnostic Equipment,In-House,Medical Device,Sr. Quality Engineer,0030c00002jkHAVAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25,2024-01-25,2024-01
a0dPQ0000021LqrYAE,1,Success,Qx,Executive/VP,Not Enough Info Found,In-House,Pharma & BioTech,President  & Ceo,0030c00002jkhyzAAA,SQL,Priority 1,Americas,Medium,MISSING/BLANK,Qx,Referrals,2024-10-18,2024-10-18,2024-10
a0dPQ000000Q5iPYAS,1,Success,Qx,Director,Medical cannabis formulation,CMO,Pharma & BioTech,Plant Director,0030c00002jktDbAAI,SQO,No Priority,EMEA,Small,MISSING/BLANK,Qx,Outbound Prospecting,2024-02-27,2024-02-27,2024-02
a0dPQ0000012mRNYAY,0,Failure,Qx,Manager,Nutraceutical manufacturing,In-House,Pharma & BioTech,Quality Assurance Supervisor,0030c00002jE91YAAS,Recycled,Priority 1,Americas,Medium,Qx,Qx,SEO,2024-06-14,2024-06-14,2024-06
a0dPQ000000uKthYAE,0,Failure,Qx,Manager,Non-manufacturing organization,In-House,Pharma & BioTech,Quality Systems Manager,0030c00002jkqeaAAA,Recycled,Priority 1,EMEA,Medium,Qx,Qx,Direct/Inbound,2024-05-22,2024-05-22,2024-05
a0dPQ000000biN3YAI,0,Failure,Mx,Individual Contributor,Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,0030c00002jkwTOAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-03-29,2024-03-29,2024-03
a0dPQ000003mlFqYAI,0,Failure,Mx,Individual Contributor,Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,0030c00002jkwTOAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-03-03,2025-03-03,2025-03
a0dPQ000004mRQEYA2,0,Failure,Mx,Individual Contributor,Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,0030c00002jkwTOAAY,Exclude,Priority 2,Americas,Medium,Mx,Mx,Email,2025-05-27,2025-05-27,2025-05
a0dPQ000005ZWNBYA4,0,Failure,Mx,Director,Implantable devices,In-House,Medical Device,Director  Of Operations,0030c00002kn8TWAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17,2025-06-17,2025-06
a0dPQ0000016QVVYA2,0,Failure,Qx,Manager,Non-manufacturing organization,CRO,Pharma & BioTech,Quality Manager,0030c00002knY26AAE,Recycled,Priority 1,Americas,Medium,Qx,Qx,External Demand Gen,2024-06-24,2024-06-24,2024-06
a0dPQ000009hUKHYA2,1,Success,Qx,Other,Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality Measure,0030c00002knZ9oAAE,SQO,P1 - MQL Referral,Americas,Medium,Quality,Qx,Referrals,2025-10-07,2025-10-07,2025-10
a0dPQ000001YbkXYAS,0,Failure,Mx,Director,Surgical instruments,In-House,Pharma & BioTech,Director  Of Research and development,0030c00002kkcJoAAI,Recycled,No Priority,Americas,Medium,Mx,Mx,Events,2024-08-27,2024-08-27,2024-08
a0dPQ000001oivVYAQ,1,Success,Qx,Director,Single-use disposables,In-House,Medical Device,Director of Quality & Regulatory,0030c00002lMIDjAAO,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-09-30,2024-09-30,2024-09
a0dPQ000001052LYAQ,0,Failure,Qx,Director,Non-manufacturing organization,Not Enough Info Found,Medical Device,Senior Director of Laboratory Quality,0030c00002lNJlOAAW,Recycled,No Priority,Americas,Large,Quality,Qx,Direct/Inbound,2024-06-07,2024-06-07,2024-06
a0dPQ0000025njhYAA,1,Success,Mx,Director,Animal Health,In-House,Pharma & BioTech,Director  Of Manufacturing science & technology,0030c00002m33qPAAQ,SQL,Priority 1,Americas,Medium,Mx,Mx,Directory Listing,2024-10-28,2024-10-28,2024-10
a0dPQ000000DzTtYAK,0,Failure,Qx,Other,Animal Health,In-House,Pharma & BioTech,Senior GMP Auditor,0030c00002mUi2nAAC,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-01-31,2024-01-31,2024-01
a0dPQ000001YXYrYAO,0,Failure,Mx,Manager,Lab Instruments,In-House,Medical Device,Sr. Regional Service Manager,0030c00002m2YSsAAM,Recycled,Priority 1,Americas,Large,Mx,Mx,Direct/Inbound,2024-08-27,2024-08-27,2024-08
a0dPQ000000AUxhYAG,0,Failure,Qx,Executive/VP,Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,VP - Scientific & Technical Services,0030c00002mWGf3AAG,Recycled,No Priority,Americas,Medium,Qx,Qx,Email,2024-01-22,2024-01-22,2024-01
a0dPQ000000oTJlYAM,0,Failure,Qx,Manager,Not Enough Info Found,In-House,Non-Life Science,Quality Manager,0030c00002m47OSAAY,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-05-06,2024-05-06,2024-05
a0dPQ000005w7cdYAA,0,Failure,Qx,Manager,Not Enough Info Found,In-House,Non-Life Science,Quality Manager,0030c00002m47OSAAY,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-06-26,2025-06-26,2025-06
a0dPQ000005vCpZYAU,0,Failure,Qx,Other,Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality System Officer,0030c00002mYep6AAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-06-26,2025-06-26,2025-06
a0dPQ000000NigHYAS,0,Failure,Qx,Manager,Plasmid DNA,In-House,Blood & Biologics,Lab Manager,0030c00002n7GS0AAM,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ0000062qALYAY,1,Success,Qx,Other,Non-manufacturing organization,Services / Consulting,Pharma & BioTech,European QA System Administrator,0030c00002n8pAjAAI,Won,No Priority,EMEA,Large,Qx,Qx,Email,2025-06-30,2025-06-30,2025-06
a0dPQ000008M7xWYAS,1,Success,Qx,Other,Non-manufacturing organization,Services / Consulting,Pharma & BioTech,European QA System Administrator,0030c00002n8pAjAAI,SQO,No Priority,EMEA,Large,Qx,Qx,Email,2025-09-03,2025-09-03,2025-09
a0dPQ000000R7yHYAS,0,Failure,Qx,Manager,Unknown,Unknown,Medical Device,Manager Quality Assurance,0030c00002n9fQGAAY,Recycled,Priority 2,Americas,Medium,Quality,Qx,Direct/Inbound,2024-02-29,2024-02-29,2024-02
a0dPQ00000Cfk1dYAB,0,Failure,Qx,Individual Contributor,Sterile injectables,In-House,Pharma & BioTech,Senior Quality Assurance Specialist,0030c00002n6MfYAAU,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2025-11-17,2025-11-17,2025-11
a0dPQ000003AZPNYA4,0,Failure,Qx,Director,Not Enough Info Found,In-House,Medical Device,Director - Research & Development,0030c00002n6o2UAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-02-04,2025-02-04,2025-02
a0dPQ000001SCLpYAO,1,Success,Qx,Director,Animal Health,In-House,Pharma & BioTech,Director,0030c00002nYlgzAAC,SQL,Priority 1,EMEA,Small,MISSING/BLANK,Qx,Direct/Inbound,2024-08-14,2024-08-14,2024-08
a0dPQ000000NiTNYA0,0,Failure,Qx,Executive/VP,Surgical instruments,In-House,Medical Device,Chief Operating Officer,0030c00002nZCB4AAO,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ000001VZKHYA4,0,Failure,Qx,Director,Oral solid dosage (OSD),CDMO,Pharma & BioTech,"Director, Quality Operations",0030c00002nZfe1AAC,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2024-08-21,2024-08-21,2024-08
a0dPQ000000KanJYAS,0,Failure,Qx,Manager,Non-manufacturing organization,Hospital Investigational Drug Unit,Blood & Biologics,QMS manager,0030c00002n9gsBAAQ,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-02-15,2024-02-15,2024-02
a0dPQ000000EJvdYAG,0,Failure,Qx,Missing,Food and beverage,In-House,Non-Life Science,Unknown Title,0030c00002nh9fdAAA,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-01-31,2024-01-31,2024-01
a0dPQ00000CAqUfYAL,0,Failure,Qx,Manager,Lasers,In-House,Medical Device,"Manager, Regulatory Officer",0030c00002nYjGOAA0,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,Outbound Prospecting,2025-11-11,2025-11-11,2025-11
a0dPQ000001iyUXYAY,0,Failure,Qx,Individual Contributor,Dental instruments,In-House,Medical Device,Quality Engineer,0030c00002nqzaPAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-09-18,2024-09-18,2024-09
a0dPQ000002UqWHYA0,0,Failure,Qx,Individual Contributor,Dental instruments,In-House,Medical Device,Quality Engineer,0030c00002nqzaPAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-12-10,2024-12-10,2024-12
a0dPQ0000021MmvYAE,0,Failure,Qx,Director,Non-manufacturing organization,Services / Consulting,Non-Life Science,Director of Quality,0030c00002nsOqCAAU,Exclude,Priority 1,Americas,Small,MISSING/BLANK,Qx,Referrals,2024-10-18,2024-10-18,2024-10
a0dPQ000000YuUPYA0,0,Failure,Mx,Executive/VP,Cosmetics manufacturing,In-House,Pharma & BioTech,"VP, Global Quality Center of Excellence",0030c00002oO2GoAAK,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-03-21,2024-03-21,2024-03
a0dPQ000000kc0fYAA,1,Success,Qx,Executive/VP,Cosmetics manufacturing,In-House,Pharma & BioTech,"VP, Global Quality Center of Excellence",0030c00002oO2GoAAK,SQL,Priority 2,Americas,Large,Qx,Qx,Email,2024-04-24,2024-04-24,2024-04
a0dPQ000004tewzYAA,0,Failure,Mx,Missing,Lab Instruments,In-House,Pharma & BioTech,Unknown Title,0030c00002onM2vAAE,,No Priority,Japan,Medium,Mx,Mx,Email,2025-05-30,2025-05-30,2025-05
a0dPQ000001FS9tYAG,0,Failure,Mx,Individual Contributor,Animal Health,In-House,Pharma & BioTech,Manufacturing Science and Technology Engineer,0030c00002nrI92AAE,Recycled,Priority 1,Americas,Medium,Mx,Mx,Email,2024-07-17,2024-07-17,2024-07
a0dPQ000000Iz0DYAS,1,Success,Qx,Other,Not Enough Info Found,In-House,Non-Life Science,Senior Quality Systems Technician,0030c00002ooPzZAAU,SQO,Priority 1,EMEA,Medium,Qx,Qx,Online Ads,2024-02-12,2024-02-12,2024-02
a0dPQ000001LEvRYAW,1,Success,Qx,Individual Contributor,Surgical robotics,In-House,Medical Device,Document Control Specialist,0030c00002oqXc0AAE,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-07-31,2024-07-31,2024-07
a0dPQ000005ZEgLYAW,0,Failure,Mx,Executive/VP,Not Enough Info Found,CMO,Medical Device,Vice President Operations,0030c00002oqhDgAAI,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17,2025-06-17,2025-06
a0dPQ000008DGdSYAW,0,Failure,Mx,Manager,Oral solid dosage (OSD),CDMO,Pharma & BioTech,Quality Engineering Manager,0030c00002ooiU3AAI,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2025-08-28,2025-08-28,2025-08
a0dPQ00000CBNATYA5,0,Failure,Qx,Manager,Oral solid dosage (OSD),CDMO,Pharma & BioTech,Quality Engineering Manager,0030c00002ooiU3AAI,Recycled,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,Email,2025-11-11,2025-11-11,2025-11
a0dPQ000000yQcLYAU,0,Failure,Qx,Missing,Blood and Plasma-related products,In-House,Pharma & BioTech,Unknown Title,0030c00002pEB4iAAG,Recycled,Priority 1,APAC & Oceania,Large,Qx,Qx,Directory Listing,2024-06-04,2024-06-04,2024-06
a0dPQ00000243CfYAI,0,Failure,Qx,Manager,Single-use disposables,In-House,Medical Device,Quality Assurance Manager,0030c00002opymDAAQ,Recycled,Priority 2,EMEA,Medium,Platform,Qx,Email,2024-10-24,2024-10-24,2024-10
