acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
Animal Health,In-House,Pharma & BioTech,President,a0dPQ000001klhhYAA,0030c00002ba6TDAAY,SQL,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-09-23
Not Enough Info Found,In-House,Non-Life Science,Shipping Manager,a0dPQ000009F5YTYA0,0030c00002bKWA5AAO,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,External Demand Gen,2025-09-26
Implantable devices,In-House,Medical Device,Sr. Quality Systems Engineer,a0dPQ0000047ELhYAM,0030c00002bKb2ZAAS,SQO,Priority 2,Americas,Medium,Logbooks,Mx,Email,2025-04-07
Implantable devices,In-House,Medical Device,Sr. Quality Systems Engineer,a0dPQ000004KFTeYAO,0030c00002bKb2ZAAS,SQO,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,Email,2025-04-28
Non-manufacturing organization,Software / Technology Development,Medical Device,PRRC,a0dPQ000001kbf7YAA,0030c00002bkd4UAAQ,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-09-23
In-vitro diagnostic (IVD) kits,In-House,Medical Device,"Manager, Quality Assurance & Regulatory Affair",a0dPQ000000NRcDYAW,0030c00002bmdO9AAI,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-22
In-vitro diagnostic (IVD) kits,In-House,Medical Device,"Manager, Quality Assurance & Regulatory Affair",a0dPQ000001FIorYAG,0030c00002bmdO9AAI,Recycled,Priority 1,EMEA,Medium,Qx,Qx,SEO,2024-07-17
In-vitro diagnostic (IVD) kits,In-House,Medical Device,QA,a0dPQ000001Sw25YAC,0030c00002cIdynAAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-08-16
Animal Health,In-House,Pharma & BioTech,Microbiology Manager,a0dPQ000000KPdNYAW,0030c00002cJDM5AAO,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
Diagnostic Equipment,In-House,Medical Device,Quality systems Manager,a0d3t00000kobEBAAY,0030c00002bmSHPAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-17
Diagnostic Equipment,In-House,Medical Device,Quality systems Manager,a0dPQ000000Nn6TYAS,0030c00002bmSHPAA2,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-02-22
Non-manufacturing organization,CRO,Pharma & BioTech,"Associate Director, Laboratory Support Services",a0dPQ000002h3RJYAY,0030c00002cH8afAAC,SQL,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2025-01-09
Biologic API,In-House,Medical Device,Senior Network and Security Manager,a0dPQ000009hgQEYAY,0030c00002cbcR7AAI,Recycled,Priority 2,Americas,Large,Platform,Qx,SEO,2025-10-07
Diagnostic Equipment,In-House,Medical Device,Owner,a0dPQ000000H8UDYA0,0030c00002dhrROAAY,SQL,No Priority,Americas,Small,Qx,Qx,Email,2024-02-07
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,Timothy Wright,a0dPQ000004H0CbYAK,0030c00002dzgebAAA,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-04-22
Diagnostic Equipment,CMO,Medical Device,VP of QA/RA,a0dPQ000001QjybYAC,0030c00002dzlCUAAY,Recycled,Priority 2,Americas,Small,Platform,Qx,Email,2024-08-12
Small-molecule API,CRO,Pharma & BioTech,"Project Manager, Fragments & External Projects",a0dPQ000004eONtYAM,0030c00002eAQtjAAG,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2025-05-22
Dental instruments,In-House,Medical Device,RA Manager,a0dPQ000000KWyDYAW,0030c00002eAWihAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15
Dental instruments,In-House,Medical Device,RA Manager,a0dPQ000002GxkXYAS,0030c00002eAWihAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-11-14
Biologic API,In-House,Pharma & BioTech,Quality Systems Analyst,a0dPQ000003rYhlYAE,0030c00002eAmqfAAC,SQO,P1 - Webinar Demo,Americas,Large,Qx,Qx,Email,2025-03-11
Sterile injectables,In-House,Pharma & BioTech,"Manager, Automation Technology (APAC)",a0dPQ00000Af1wrYAB,0030c00002eE3u6AAC,Recycled,P1 - Webinar Demo,APAC & Oceania,Large,Qx,Qx,Email,2025-10-23
Specialty Chemical Manufacturing,In-House,Non-Life Science,Program Manager,a0dPQ00000184KPYAY,0030c00002eBC0LAAW,Recycled,Priority 1,Americas,Medium,Qx,Qx,Directory Listing,2024-06-27
Implantable devices,In-House,Medical Device,Vice President - Information Technology Global,a0dPQ000001ZwuzYAC,0030c00002fTXXkAAO,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2024-08-29
Non-manufacturing organization,Services / Consulting,Medical Device,Principal,a0dPQ000004nUAmYAM,0030c00002fTyffAAC,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-05-27
In-vitro diagnostic (IVD) kits,CMO,Medical Device,"Director, Quality Assurance and Regulatory Affairs",a0dPQ000000hhphYAA,0030c00002fUPFcAAO,Recycled,No Priority,Americas,Medium,Qx,Qx,Online Ads,2024-04-16
Small-molecule API,503B,Pharma & BioTech,North America Quality Specialist,a0dPQ000001SxxRYAS,0030c00002fSOZ5AAO,Recycled,Priority 2,EMEA,Medium,Platform,Qx,Email,2024-08-16
Sterile injectables,CDMO,Pharma & BioTech,R&D,a0dPQ000000NKm1YAG,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-22
Sterile injectables,CDMO,Pharma & BioTech,R&D,a0dPQ000002tXtRYAU,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Manufacturing,Mx,Email,2025-01-24
Sterile injectables,CDMO,Pharma & BioTech,R&D,a0dPQ000004VZATYA4,0030c00002fUCpwAAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-05-15
Surgical instruments,In-House,Medical Device,Vice President of Quality Regulatory and Operations,a0dPQ000004pSO9YAM,0030c00002gC7U5AAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2025-05-28
Not Enough Info Found,In-House,Non-Life Science,,a0dPQ000000tfsAYAQ,0030c00002gs0CTAAY,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,Online Ads,2024-05-20
Surgical instruments,In-House,Medical Device,Director of Quality and Regulatory Affairs,a0dPQ000007wkEYYAY,0030c00002hGI2jAAG,Recycled,Priority 2,Americas,Small,Quality,Qx,Email,2025-08-21
Surgical instruments,In-House,Medical Device,Director of Quality and Regulatory Affairs,a0dPQ000009FA1tYAG,0030c00002hGI2jAAG,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,Email,2025-09-26
Sterile injectables,CMO,Pharma & BioTech,"Manager, Regulatory Affairs",a0dPQ000000LIhtYAG,0030c00002hqidKAAQ,Recycled,Priority 2,Americas,Medium,MISSING/BLANK,Qx,Email,2024-02-16
Not Enough Info Found,In-House,Medical Device,QA/RA Associate,a0dPQ00000Eo3kbYAB,0030c00002hH8GAAA0,,Priority 2,Americas,Small,Manufacturing,Mx,SEO,2025-12-16
Biologic API,CDMO,Pharma & BioTech,Senior Quality Assurance Manager - ProcessModul,a0dPQ000004mim3YAA,0030c00002hHDT6AAO,Recycled,P1 - Live Demo,EMEA,Medium,Mx,Mx,Email,2025-05-27
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Head of Process Engineering,a0dPQ000002mWfZYAU,0030c00002hsye6AAA,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,External Demand Gen,2025-01-16
Not Enough Info Found,Not Enough Info Found,Medical Device,"Senior Regulatory Affairs Manager, Ypsomed USA",a0dPQ000001Kqt7YAC,0030c00002hsmevAAA,SQO,Priority 1,Americas,Medium,MISSING/BLANK,Qx,Direct/Inbound,2024-07-30
Nutraceutical manufacturing,CMO,Pharma & BioTech,Vice-President  Finance/administration,a0dPQ000001PDSvYAO,0030c00002iVNNPAA4,Recycled,No Priority,Americas,Small,Platform,Qx,Outbound Prospecting,2024-08-08
Small-molecule API,In-House,Non-Life Science,課長,a0dPQ00000DB7BpYAL,0030c00002iWnIdAAK,SQL,P1 - Webinar Demo,Japan,Medium,Mx,Mx,Email,2025-03-14
Secondary packaging,Distribution / Wholesale,Pharma & BioTech,Director Operations,a0dPQ000002HF9ZYAW,0030c00002iXEKVAA4,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2024-11-15
Nutraceutical manufacturing,In-House,Pharma & BioTech,Operations   Manager,a0dPQ000000BYXpYAO,0030c00002iXKQ6AAO,Recycled,Priority 2,APAC & Oceania,Small,Mx,Mx,Email,2024-01-25
Radiopharmaceuticals,In-House,Pharma & BioTech,Quality  Assurance Manager,a0dPQ000001ikMjYAI,0030c00002jBGBXAA4,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-09-18
Implantable devices,In-House,Medical Device,National Operations Manager,a0dPQ000000HOkHYAW,0030c00002jC0hdAAC,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2024-02-08
Oral solid dosage (OSD),In-House,Pharma & BioTech,"Director, Analytical Research And Development And Quality Control",a0dPQ000004OO6vYAG,0030c00002jBNSZAA4,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-05-05
Food and beverage,In-House,Pharma & BioTech,IT Manager,a0dPQ000003a30rYAA,0030c00002jkAHOAA2,SQL,P1 - Website Pricing,Americas,Medium,MISSING/BLANK,Qx,SEO,2025-02-20
Diagnostic Equipment,In-House,Medical Device,Sr. Quality Engineer,a0dPQ000000Br4DYAS,0030c00002jkHAVAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25
Not Enough Info Found,In-House,Pharma & BioTech,President  & Ceo,a0dPQ0000021LqrYAE,0030c00002jkhyzAAA,SQL,Priority 1,Americas,Medium,MISSING/BLANK,Qx,Referrals,2024-10-18
Medical cannabis formulation,CMO,Pharma & BioTech,Plant Director,a0dPQ000000Q5iPYAS,0030c00002jktDbAAI,SQO,No Priority,EMEA,Small,MISSING/BLANK,Qx,Outbound Prospecting,2024-02-27
Nutraceutical manufacturing,In-House,Pharma & BioTech,Quality Assurance Supervisor,a0dPQ0000012mRNYAY,0030c00002jE91YAAS,Recycled,Priority 1,Americas,Medium,Qx,Qx,SEO,2024-06-14
Non-manufacturing organization,In-House,Pharma & BioTech,Quality Systems Manager,a0dPQ000000uKthYAE,0030c00002jkqeaAAA,Recycled,Priority 1,EMEA,Medium,Qx,Qx,Direct/Inbound,2024-05-22
Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,a0dPQ000000biN3YAI,0030c00002jkwTOAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2024-03-29
Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,a0dPQ000003mlFqYAI,0030c00002jkwTOAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-03-03
Oral solid dosage (OSD),In-House,Pharma & BioTech,Biotechnology Engineer,a0dPQ000004mRQEYA2,0030c00002jkwTOAAY,Exclude,Priority 2,Americas,Medium,Mx,Mx,Email,2025-05-27
Implantable devices,In-House,Medical Device,Director  Of Operations,a0dPQ000005ZWNBYA4,0030c00002kn8TWAAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17
Non-manufacturing organization,CRO,Pharma & BioTech,Quality Manager,a0dPQ0000016QVVYA2,0030c00002knY26AAE,Recycled,Priority 1,Americas,Medium,Qx,Qx,External Demand Gen,2024-06-24
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality Measure,a0dPQ000009hUKHYA2,0030c00002knZ9oAAE,SQO,P1 - MQL Referral,Americas,Medium,Quality,Qx,Referrals,2025-10-07
Surgical instruments,In-House,Pharma & BioTech,Director  Of Research and development,a0dPQ000001YbkXYAS,0030c00002kkcJoAAI,Recycled,No Priority,Americas,Medium,Mx,Mx,Events,2024-08-27
Single-use disposables,In-House,Medical Device,Director of Quality & Regulatory,a0dPQ000001oivVYAQ,0030c00002lMIDjAAO,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-09-30
Non-manufacturing organization,Not Enough Info Found,Medical Device,Senior Director of Laboratory Quality,a0dPQ000001052LYAQ,0030c00002lNJlOAAW,Recycled,No Priority,Americas,Large,Quality,Qx,Direct/Inbound,2024-06-07
Animal Health,In-House,Pharma & BioTech,Director  Of Manufacturing science & technology,a0dPQ0000025njhYAA,0030c00002m33qPAAQ,SQL,Priority 1,Americas,Medium,Mx,Mx,Directory Listing,2024-10-28
Animal Health,In-House,Pharma & BioTech,Senior GMP Auditor,a0dPQ000000DzTtYAK,0030c00002mUi2nAAC,Recycled,Priority 2,EMEA,Medium,Quality,Qx,Email,2024-01-31
Lab Instruments,In-House,Medical Device,Sr. Regional Service Manager,a0dPQ000001YXYrYAO,0030c00002m2YSsAAM,Recycled,Priority 1,Americas,Large,Mx,Mx,Direct/Inbound,2024-08-27
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,VP - Scientific & Technical Services,a0dPQ000000AUxhYAG,0030c00002mWGf3AAG,Recycled,No Priority,Americas,Medium,Qx,Qx,Email,2024-01-22
Not Enough Info Found,In-House,Non-Life Science,Quality Manager,a0dPQ000000oTJlYAM,0030c00002m47OSAAY,Recycled,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-05-06
Not Enough Info Found,In-House,Non-Life Science,Quality Manager,a0dPQ000005w7cdYAA,0030c00002m47OSAAY,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-06-26
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality System Officer,a0dPQ000005vCpZYAU,0030c00002mYep6AAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-06-26
Plasmid DNA,In-House,Blood & Biologics,Lab Manager,a0dPQ000000NigHYAS,0030c00002n7GS0AAM,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-02-22
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,European QA System Administrator,a0dPQ0000062qALYAY,0030c00002n8pAjAAI,Won,No Priority,EMEA,Large,Qx,Qx,Email,2025-06-30
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,European QA System Administrator,a0dPQ000008M7xWYAS,0030c00002n8pAjAAI,SQO,No Priority,EMEA,Large,Qx,Qx,Email,2025-09-03
,,Medical Device,Manager Quality Assurance,a0dPQ000000R7yHYAS,0030c00002n9fQGAAY,Recycled,Priority 2,Americas,Medium,Quality,Qx,Direct/Inbound,2024-02-29
Sterile injectables,In-House,Pharma & BioTech,Senior Quality Assurance Specialist,a0dPQ00000Cfk1dYAB,0030c00002n6MfYAAU,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2025-11-17
Not Enough Info Found,In-House,Medical Device,Director - Research & Development,a0dPQ000003AZPNYA4,0030c00002n6o2UAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Directory Listing,2025-02-04
Animal Health,In-House,Pharma & BioTech,Director,a0dPQ000001SCLpYAO,0030c00002nYlgzAAC,SQL,Priority 1,EMEA,Small,MISSING/BLANK,Qx,Direct/Inbound,2024-08-14
Surgical instruments,In-House,Medical Device,Chief Operating Officer,a0dPQ000000NiTNYA0,0030c00002nZCB4AAO,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2024-02-22
Oral solid dosage (OSD),CDMO,Pharma & BioTech,"Director, Quality Operations",a0dPQ000001VZKHYA4,0030c00002nZfe1AAC,Recycled,Priority 2,Americas,Medium,Qx,Qx,External Demand Gen,2024-08-21
Non-manufacturing organization,Hospital Investigational Drug Unit,Blood & Biologics,QMS manager,a0dPQ000000KanJYAS,0030c00002n9gsBAAQ,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-02-15
Food and beverage,In-House,Non-Life Science,,a0dPQ000000EJvdYAG,0030c00002nh9fdAAA,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-01-31
Lasers,In-House,Medical Device,"Manager, Regulatory Officer",a0dPQ00000CAqUfYAL,0030c00002nYjGOAA0,Recycled,No Priority,Americas,Medium,MISSING/BLANK,Qx,Outbound Prospecting,2025-11-11
Dental instruments,In-House,Medical Device,Quality Engineer,a0dPQ000001iyUXYAY,0030c00002nqzaPAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-09-18
Dental instruments,In-House,Medical Device,Quality Engineer,a0dPQ000002UqWHYA0,0030c00002nqzaPAAQ,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-12-10
Non-manufacturing organization,Services / Consulting,Non-Life Science,Director of Quality,a0dPQ0000021MmvYAE,0030c00002nsOqCAAU,Exclude,Priority 1,Americas,Small,MISSING/BLANK,Qx,Referrals,2024-10-18
Cosmetics manufacturing,In-House,Pharma & BioTech,"VP, Global Quality Center of Excellence",a0dPQ000000YuUPYA0,0030c00002oO2GoAAK,Recycled,Priority 2,Americas,Large,Mx,Mx,Email,2024-03-21
Cosmetics manufacturing,In-House,Pharma & BioTech,"VP, Global Quality Center of Excellence",a0dPQ000000kc0fYAA,0030c00002oO2GoAAK,SQL,Priority 2,Americas,Large,Qx,Qx,Email,2024-04-24
Lab Instruments,In-House,Pharma & BioTech,,a0dPQ000004tewzYAA,0030c00002onM2vAAE,,No Priority,Japan,Medium,Mx,Mx,Email,2025-05-30
Animal Health,In-House,Pharma & BioTech,Manufacturing Science and Technology Engineer,a0dPQ000001FS9tYAG,0030c00002nrI92AAE,Recycled,Priority 1,Americas,Medium,Mx,Mx,Email,2024-07-17
Not Enough Info Found,In-House,Non-Life Science,Senior Quality Systems Technician,a0dPQ000000Iz0DYAS,0030c00002ooPzZAAU,SQO,Priority 1,EMEA,Medium,Qx,Qx,Online Ads,2024-02-12
Surgical robotics,In-House,Medical Device,Document Control Specialist,a0dPQ000001LEvRYAW,0030c00002oqXc0AAE,SQL,Priority 1,Americas,Medium,Qx,Qx,Online Ads,2024-07-31
Not Enough Info Found,CMO,Medical Device,Vice President Operations,a0dPQ000005ZEgLYAW,0030c00002oqhDgAAI,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-06-17
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Quality Engineering Manager,a0dPQ000008DGdSYAW,0030c00002ooiU3AAI,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2025-08-28
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Quality Engineering Manager,a0dPQ00000CBNATYA5,0030c00002ooiU3AAI,Recycled,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,Email,2025-11-11
Blood and Plasma-related products,In-House,Pharma & BioTech,,a0dPQ000000yQcLYAU,0030c00002pEB4iAAG,Recycled,Priority 1,APAC & Oceania,Large,Qx,Qx,Directory Listing,2024-06-04
Single-use disposables,In-House,Medical Device,Quality Assurance Manager,a0dPQ00000243CfYAI,0030c00002opymDAAQ,Recycled,Priority 2,EMEA,Medium,Platform,Qx,Email,2024-10-24
Not Enough Info Found,In-House,Non-Life Science,Quality Tech,a0dPQ000002Ur5lYAC,0030c00002pElW5AAK,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-12-10
Imaging systems,CMO,Non-Life Science,Computer System Validation Analyst IV,a0dPQ000000vagHYAQ,0030c00002oqTuOAAU,Recycled,Priority 2,Americas,Large,Qx,Qx,SEO,2024-05-24
"Cell therapies (CAR-T, NK)",In-House,Pharma & BioTech,"Senior Manager, Information Technology",a0dPQ000004KCFdYAO,0030c00002q9D3vAAE,Exclude,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-28
Non-manufacturing organization,Distribution / Wholesale,Non-Life Science,,a0dPQ000006YVYzYAO,0030c00002q9kDPAAY,SQL,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-07-14
Non-manufacturing organization,Distribution / Wholesale,Medical Device,"Director, Product Development",a0dPQ000005bH74YAE,0030c00002pDw3CAAS,Recycled,Priority 2,EMEA,Small,Mx,Mx,Email,2025-06-18
Diagnostic Equipment,In-House,Medical Device,Manufacturing Manager,a0dPQ000003aDOPYA2,0030c00002qBUyKAAW,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-02-20
Lab Instruments,In-House,Medical Device,Regulatory Affairs Specialist,a0dPQ000005fK6LYAU,0030c00002qBeSRAA0,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-06-19
Lab Instruments,In-House,Medical Device,Regulatory Affairs Specialist,a0dPQ000009S83uYAC,0030c00002qBeSRAA0,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-10-02
Not Enough Info Found,In-House,Medical Device,Capa   Manager,a0dPQ000000NYYrYAO,0030c00002pF4iqAAC,Recycled,Priority 2,Americas,Large,Qx,Qx,Email,2024-02-22
Specialty Chemical Manufacturing,In-House,Medical Device,Regulatory  Affairs Professional,a0dPQ000001WFMjYAO,0030c00002qBv72AAC,Recycled,Priority 2,Americas,Medium,Platform,Qx,SEO,2024-08-22
,,,Regulatory Affairs Specialist,a0dPQ000000r8ibYAA,0030c00002qCS4WAAW,Recycled,Priority 2,,,Logbooks,Mx,Email,2024-05-14
Implantable devices,In-House,Medical Device,Quality Assurance Director,a0dPQ000000NSoPYAW,0030c00002pGW4dAAG,Recycled,Priority 2,EMEA,Small,Qx,Qx,External Demand Gen,2024-02-22
Surgical robotics,CDMO,Medical Device,MSc,a0dPQ000002P3SzYAK,0030c00002qD6tnAAC,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2024-11-29
"Cell therapies (CAR-T, NK)",In-House,Pharma & BioTech,Director of Quality Assurance and Quality Control,a0dPQ000000EoRZYA0,0030c00002rhuRlAAI,Recycled,Priority 2,Americas,Small,Mx,Mx,Online Ads,2024-02-01
Highly potent API,CDMO,Pharma & BioTech,Head of Qualification/Validation,a0dPQ000001DEW1YAO,0030c00002r3449AAA,Recycled,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2024-07-11
Oral solid dosage (OSD),CMO,Blood & Biologics,Quality Engineer,a0d3t00000kohfQAAQ,0030c00002rjGWjAAM,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-18
In-vitro diagnostic (IVD) kits,In-House,Medical Device,"Manager, Software Quality Assurance",a0dPQ0000084cV7YAI,0030c00002rjYq2AAE,Recycled,Priority 2,Americas,Medium,Manufacturing,Mx,Direct/Inbound,2025-08-25
,,Medical Device,Quality Systems Manager,a0dPQ000000Bz8DYAS,0030c00002r4HcLAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25
,,Medical Device,Quality Systems Manager,a0dPQ000000eEttYAE,0030c00002r4HcLAAU,Recycled,Priority 2,Americas,Medium,Platform,Qx,Email,2024-04-05
,,Medical Device,Quality Systems Manager,a0dPQ000004W2ArYAK,0030c00002r4HcLAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-05-15
,,Medical Device,Quality Systems Manager,a0dPQ000009F4vmYAC,0030c00002r4HcLAAU,Recycled,P1 - Webinar Demo,Americas,Medium,Qx,Qx,External Demand Gen,2025-09-26
Non-manufacturing organization,Services / Consulting,Non-Life Science,"Vice President, Information Technology",a0dPQ000001AiYfYAK,0030c00002sZpPDAA0,Recycled,Priority 1,Americas,Medium,Mx,Mx,SEO,2024-07-03
Not Enough Info Found,In-House,Non-Life Science,Commercial Director,a0dPQ00000224cfYAA,0030c00002t4AgxAAE,SQL,Priority 1,EMEA,Small,Qx,Qx,Online Ads,2024-10-21
Not Enough Info Found,Not Enough Info Found,Pharma & BioTech,Glp  Quality Assurance auditor iii,a0d3t00000kohUOAAY,0030c00002rihXiAAI,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-18
Monoclonal antibodies (mAbs),In-House,Pharma & BioTech,QA Associate II,a0dPQ000000AbcbYAC,0030c00002rjGVbAAM,Recycled,Priority 2,Americas,Large,Qx,Qx,Online Ads,2024-01-22
Food and beverage,In-House,Non-Life Science,Plant Quality Manager,a0d3t00000koUbhAAE,0030c00002rjVjQAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2024-01-17
Wound Care,In-House,Medical Device,Quality Engineer,a0d3t00000koQUyAAM,0030c00002t73E2AAI,Recycled,No Priority,EMEA,Medium,Qx,Qx,Email,2024-01-15
Non-manufacturing organization,Software / Technology Development,Medical Device,Head of Quality & Regulatory Affairs,a0dPQ000000Cz1JYAS,0030c00002t7U1pAAE,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2024-01-29
Dental instruments,Consumer Packaged Goods,Medical Device,Quality Assurance Laboratory Technician,a0dPQ000000CKuDYAW,0030c00002rkk1tAAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-26
