qal_id,contact_lead_id,is_success,outcome_tier,next_stage__c,product_segment,solution_rollup,acct_target_industry,acct_manufacturing_model,acct_primary_site_function,acct_territory_rollup,acct_tier_rollup,contact_lead_title,title_seniority,title_function,title_scope,is_decision_maker,record_completeness,completeness_tier,priority,last_tactic_campaign_channel,cohort_date,cohort_year,cohort_quarter,lead_age_days
a0dPQ000000g4aHYAQ,0030c00002bKZ7iAAG,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Medium,Document Control Specialist,IC,Other,Standard,0,1.0,High,Priority 2,Email,2024-04-11,2024,2024Q2,634
a0dPQ000001G8lpYAC,0030c00002alVNNAA2,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Outsources Manufacturing,Small-molecule API,Americas,Medium,"Biostats & Clinical Data Management Associate Director, Technical Operations",Director,Mfg/Ops,Standard,1,1.0,High,Priority 2,Email,2024-07-18,2024,2024Q3,536
a0dPQ000001klhhYAA,0030c00002ba6TDAAY,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Animal Health,Americas,Small,President,C-Suite,Other,Standard,1,1.0,High,Priority 1,Online Ads,2024-09-23,2024,2024Q3,469
a0dPQ000009F5YTYA0,0030c00002bKWA5AAO,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,Americas,Small,Shipping Manager,Manager,Other,Standard,0,1.0,High,P1 - Webinar Demo,External Demand Gen,2025-09-26,2025,2025Q3,101
a0dPQ0000047ELhYAM,0030c00002bKb2ZAAS,1,Success,SQO,Mx,Mx,Medical Device,In-House,Implantable devices,Americas,Medium,Sr. Quality Systems Engineer,IC,Quality,Standard,0,1.0,High,Priority 2,Email,2025-04-07,2025,2025Q2,273
a0dPQ000004KFTeYAO,0030c00002bKb2ZAAS,1,Success,SQO,Mx,Mx,Medical Device,In-House,Implantable devices,Americas,Medium,Sr. Quality Systems Engineer,IC,Quality,Standard,0,1.0,High,P1 - Webinar Demo,Email,2025-04-28,2025,2025Q2,252
a0dPQ000001kbf7YAA,0030c00002bkd4UAAQ,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Software / Technology Development,Non-manufacturing organization,EMEA,Medium,PRRC,Other,Other,Standard,0,1.0,High,Priority 2,Email,2024-09-23,2024,2024Q3,469
a0dPQ000000NRcDYAW,0030c00002bmdO9AAI,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,In-vitro diagnostic (IVD) kits,EMEA,Medium,"Manager, Quality Assurance & Regulatory Affair",Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ000001FIorYAG,0030c00002bmdO9AAI,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,In-vitro diagnostic (IVD) kits,EMEA,Medium,"Manager, Quality Assurance & Regulatory Affair",Manager,Quality,Standard,0,1.0,High,Priority 1,SEO,2024-07-17,2024,2024Q3,537
a0dPQ000001Sw25YAC,0030c00002cIdynAAC,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,In-vitro diagnostic (IVD) kits,EMEA,Medium,QA,Other,Quality,Standard,0,1.0,High,Priority 2,Email,2024-08-16,2024,2024Q3,507
a0dPQ000000KPdNYAW,0030c00002cJDM5AAO,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Animal Health,EMEA,Medium,Microbiology Manager,Manager,Other,Standard,0,1.0,High,Priority 2,Email,2024-02-15,2024,2024Q1,690
a0d3t00000kobEBAAY,0030c00002bmSHPAA2,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Medium,Quality systems Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-01-17,2024,2024Q1,719
a0dPQ000000Nn6TYAS,0030c00002bmSHPAA2,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Medium,Quality systems Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ000002h3RJYAY,0030c00002cH8afAAC,1,Success,SQL,Qx,Qx,Pharma & BioTech,CRO,Non-manufacturing organization,Americas,Medium,"Associate Director, Laboratory Support Services",Director,Other,Standard,1,1.0,High,P1 - Contact Us,Online Ads,2025-01-09,2025,2025Q1,361
a0dPQ000009hgQEYAY,0030c00002cbcR7AAI,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Biologic API,Americas,Large,Senior Network and Security Manager,Manager,Other,Standard,0,1.0,High,Priority 2,SEO,2025-10-07,2025,2025Q4,90
a0dPQ000000H8UDYA0,0030c00002dhrROAAY,1,Success,SQL,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Small,Owner,Other,Other,Standard,0,1.0,High,No Priority,Email,2024-02-07,2024,2024Q1,698
a0dPQ000004H0CbYAK,0030c00002dzgebAAA,0,Near-Miss,Recycled,Mx,Mx,Non-Life Science,Original Equipment Manufacturing,Not Enough Info Found,Americas,Medium,Timothy Wright,Other,Other,Standard,0,1.0,High,Priority 2,Email,2025-04-22,2025,2025Q2,258
a0dPQ000001QjybYAC,0030c00002dzlCUAAY,0,Near-Miss,Recycled,Qx,Qx,Medical Device,CMO,Diagnostic Equipment,Americas,Small,VP of QA/RA,VP,Quality,Standard,1,1.0,High,Priority 2,Email,2024-08-12,2024,2024Q3,511
a0dPQ000004eONtYAM,0030c00002eAQtjAAG,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CRO,Small-molecule API,EMEA,Small,"Project Manager, Fragments & External Projects",Manager,PMO,Standard,0,1.0,High,Priority 2,Email,2025-05-22,2025,2025Q2,228
a0dPQ000000KWyDYAW,0030c00002eAWihAAG,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Dental instruments,EMEA,Medium,RA Manager,Manager,Other,Standard,0,1.0,High,Priority 2,Email,2024-02-15,2024,2024Q1,690
a0dPQ000002GxkXYAS,0030c00002eAWihAAG,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Dental instruments,EMEA,Medium,RA Manager,Manager,Other,Standard,0,1.0,High,Priority 2,Email,2024-11-14,2024,2024Q4,417
a0dPQ000003rYhlYAE,0030c00002eAmqfAAC,1,Success,SQO,Qx,Qx,Pharma & BioTech,In-House,Biologic API,Americas,Large,Quality Systems Analyst,IC,Quality,Standard,0,1.0,High,P1 - Webinar Demo,Email,2025-03-11,2025,2025Q1,300
a0dPQ00000Af1wrYAB,0030c00002eE3u6AAC,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Sterile injectables,APAC & Oceania,Large,"Manager, Automation Technology (APAC)",Manager,Other,Standard,0,1.0,High,P1 - Webinar Demo,Email,2025-10-23,2025,2025Q4,74
a0dPQ00000184KPYAY,0030c00002eBC0LAAW,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Specialty Chemical Manufacturing,Americas,Medium,Program Manager,Manager,PMO,Standard,0,1.0,High,Priority 1,Directory Listing,2024-06-27,2024,2024Q2,557
a0dPQ000001ZwuzYAC,0030c00002fTXXkAAO,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Implantable devices,Americas,Medium,Vice President - Information Technology Global,C-Suite,Other,Global,1,1.0,High,Priority 2,External Demand Gen,2024-08-29,2024,2024Q3,494
a0dPQ000004nUAmYAM,0030c00002fTyffAAC,0,Near-Miss,Recycled,Mx,Mx,Medical Device,Services / Consulting,Non-manufacturing organization,Americas,Medium,Principal,Other,Other,Standard,0,1.0,High,Priority 2,Email,2025-05-27,2025,2025Q2,223
a0dPQ000000hhphYAA,0030c00002fUPFcAAO,0,Near-Miss,Recycled,Qx,Qx,Medical Device,CMO,In-vitro diagnostic (IVD) kits,Americas,Medium,"Director, Quality Assurance and Regulatory Affairs",Director,Quality,Standard,1,1.0,High,No Priority,Online Ads,2024-04-16,2024,2024Q2,629
a0dPQ000001SxxRYAS,0030c00002fSOZ5AAO,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,503B,Small-molecule API,EMEA,Medium,North America Quality Specialist,IC,Quality,Standard,0,1.0,High,Priority 2,Email,2024-08-16,2024,2024Q3,507
a0dPQ000000NKm1YAG,0030c00002fUCpwAAG,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CDMO,Sterile injectables,EMEA,Medium,R&D,Other,R&D,Standard,0,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ000002tXtRYAU,0030c00002fUCpwAAG,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,CDMO,Sterile injectables,EMEA,Medium,R&D,Other,R&D,Standard,0,1.0,High,Priority 2,Email,2025-01-24,2025,2025Q1,346
a0dPQ000004VZATYA4,0030c00002fUCpwAAG,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CDMO,Sterile injectables,EMEA,Medium,R&D,Other,R&D,Standard,0,1.0,High,Priority 2,Email,2025-05-15,2025,2025Q2,235
a0dPQ000004pSO9YAM,0030c00002gC7U5AAK,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Surgical instruments,Americas,Medium,Vice President of Quality Regulatory and Operations,C-Suite,Quality,Standard,1,1.0,High,Priority 2,External Demand Gen,2025-05-28,2025,2025Q2,222
a0dPQ000000tfsAYAQ,0030c00002gs0CTAAY,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,APAC & Oceania,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Online Ads,2024-05-20,2024,2024Q2,595
a0dPQ000007wkEYYAY,0030c00002hGI2jAAG,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Surgical instruments,Americas,Small,Director of Quality and Regulatory Affairs,Director,Quality,Standard,1,1.0,High,Priority 2,Email,2025-08-21,2025,2025Q3,137
a0dPQ000009FA1tYAG,0030c00002hGI2jAAG,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Surgical instruments,Americas,Small,Director of Quality and Regulatory Affairs,Director,Quality,Standard,1,1.0,High,P1 - Webinar Demo,Email,2025-09-26,2025,2025Q3,101
a0dPQ000000LIhtYAG,0030c00002hqidKAAQ,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CMO,Sterile injectables,Americas,Medium,"Manager, Regulatory Affairs",Manager,Regulatory,Standard,0,1.0,High,Priority 2,Email,2024-02-16,2024,2024Q1,689
a0dPQ00000Eo3kbYAB,0030c00002hH8GAAA0,0,Lost,,Mx,Mx,Medical Device,In-House,Not Enough Info Found,Americas,Small,QA/RA Associate,IC,Quality,Standard,0,1.0,High,Priority 2,SEO,2025-12-16,2025,2025Q4,20
a0dPQ000004mim3YAA,0030c00002hHDT6AAO,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,CDMO,Biologic API,EMEA,Medium,Senior Quality Assurance Manager - ProcessModul,Manager,Quality,Standard,0,1.0,High,P1 - Live Demo,Email,2025-05-27,2025,2025Q2,223
a0dPQ000002mWfZYAU,0030c00002hsye6AAA,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,CDMO,Oral solid dosage (OSD),APAC & Oceania,Medium,Head of Process Engineering,Director,Other,Standard,1,1.0,High,Priority 2,External Demand Gen,2025-01-16,2025,2025Q1,354
a0dPQ000001Kqt7YAC,0030c00002hsmevAAA,1,Success,SQO,Qx,Qx,Medical Device,Not Enough Info Found,Not Enough Info Found,Americas,Medium,"Senior Regulatory Affairs Manager, Ypsomed USA",Manager,Regulatory,Standard,0,1.0,High,Priority 1,Direct/Inbound,2024-07-30,2024,2024Q3,524
a0dPQ000001PDSvYAO,0030c00002iVNNPAA4,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CMO,Nutraceutical manufacturing,Americas,Small,Vice-President  Finance/administration,C-Suite,Other,Standard,1,1.0,High,No Priority,Outbound Prospecting,2024-08-08,2024,2024Q3,515
a0dPQ00000DB7BpYAL,0030c00002iWnIdAAK,1,Success,SQL,Mx,Mx,Non-Life Science,In-House,Small-molecule API,Japan,Medium,課長,Other,Other,Standard,0,1.0,High,P1 - Webinar Demo,Email,2025-03-14,2025,2025Q1,297
a0dPQ000002HF9ZYAW,0030c00002iXEKVAA4,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,Distribution / Wholesale,Secondary packaging,EMEA,Medium,Director Operations,Director,Mfg/Ops,Standard,1,1.0,High,Priority 2,External Demand Gen,2024-11-15,2024,2024Q4,416
a0dPQ000000BYXpYAO,0030c00002iXKQ6AAO,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Nutraceutical manufacturing,APAC & Oceania,Small,Operations   Manager,Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-01-25,2024,2024Q1,711
a0dPQ000001ikMjYAI,0030c00002jBGBXAA4,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Radiopharmaceuticals,EMEA,Medium,Quality  Assurance Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-09-18,2024,2024Q3,474
a0dPQ000000HOkHYAW,0030c00002jC0hdAAC,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Implantable devices,APAC & Oceania,Medium,National Operations Manager,Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Email,2024-02-08,2024,2024Q1,697
a0dPQ000004OO6vYAG,0030c00002jBNSZAA4,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Oral solid dosage (OSD),Americas,Medium,"Director, Analytical Research And Development And Quality Control",Director,Quality,Standard,1,1.0,High,P1 - Video Demo,Online Ads,2025-05-05,2025,2025Q2,245
a0dPQ000003a30rYAA,0030c00002jkAHOAA2,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Food and beverage,Americas,Medium,IT Manager,Manager,IT,Standard,0,1.0,High,P1 - Website Pricing,SEO,2025-02-20,2025,2025Q1,319
a0dPQ000000Br4DYAS,0030c00002jkHAVAA2,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Diagnostic Equipment,Americas,Medium,Sr. Quality Engineer,IC,Quality,Standard,0,1.0,High,Priority 2,Email,2024-01-25,2024,2024Q1,711
a0dPQ0000021LqrYAE,0030c00002jkhyzAAA,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Not Enough Info Found,Americas,Medium,President  & Ceo,C-Suite,Other,Standard,1,1.0,High,Priority 1,Referrals,2024-10-18,2024,2024Q4,444
a0dPQ000000Q5iPYAS,0030c00002jktDbAAI,1,Success,SQO,Qx,Qx,Pharma & BioTech,CMO,Medical cannabis formulation,EMEA,Small,Plant Director,Director,Mfg/Ops,Site,1,1.0,High,No Priority,Outbound Prospecting,2024-02-27,2024,2024Q1,678
a0dPQ0000012mRNYAY,0030c00002jE91YAAS,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Nutraceutical manufacturing,Americas,Medium,Quality Assurance Supervisor,Manager,Quality,Standard,0,1.0,High,Priority 1,SEO,2024-06-14,2024,2024Q2,570
a0dPQ000000uKthYAE,0030c00002jkqeaAAA,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Non-manufacturing organization,EMEA,Medium,Quality Systems Manager,Manager,Quality,Standard,0,1.0,High,Priority 1,Direct/Inbound,2024-05-22,2024,2024Q2,593
a0dPQ000000biN3YAI,0030c00002jkwTOAAY,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Oral solid dosage (OSD),Americas,Medium,Biotechnology Engineer,IC,Other,Standard,0,1.0,High,Priority 2,Email,2024-03-29,2024,2024Q1,647
a0dPQ000003mlFqYAI,0030c00002jkwTOAAY,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Oral solid dosage (OSD),Americas,Medium,Biotechnology Engineer,IC,Other,Standard,0,1.0,High,Priority 2,Email,2025-03-03,2025,2025Q1,308
a0dPQ000004mRQEYA2,0030c00002jkwTOAAY,0,Lost,Exclude,Mx,Mx,Pharma & BioTech,In-House,Oral solid dosage (OSD),Americas,Medium,Biotechnology Engineer,IC,Other,Standard,0,1.0,High,Priority 2,Email,2025-05-27,2025,2025Q2,223
a0dPQ000005ZWNBYA4,0030c00002kn8TWAAY,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Implantable devices,Americas,Medium,Director  Of Operations,Director,Mfg/Ops,Standard,1,1.0,High,Priority 2,External Demand Gen,2025-06-17,2025,2025Q2,202
a0dPQ0000016QVVYA2,0030c00002knY26AAE,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CRO,Non-manufacturing organization,Americas,Medium,Quality Manager,Manager,Quality,Standard,0,1.0,High,Priority 1,External Demand Gen,2024-06-24,2024,2024Q2,560
a0dPQ000009hUKHYA2,0030c00002knZ9oAAE,1,Success,SQO,Qx,Qx,Pharma & BioTech,In-House,Specialty Chemical Manufacturing,Americas,Medium,Quality Measure,Other,Quality,Standard,0,1.0,High,P1 - MQL Referral,Referrals,2025-10-07,2025,2025Q4,90
a0dPQ000001YbkXYAS,0030c00002kkcJoAAI,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Surgical instruments,Americas,Medium,Director  Of Research and development,Director,R&D,Standard,1,1.0,High,No Priority,Events,2024-08-27,2024,2024Q3,496
a0dPQ000001oivVYAQ,0030c00002lMIDjAAO,1,Success,SQL,Qx,Qx,Medical Device,In-House,Single-use disposables,Americas,Medium,Director of Quality & Regulatory,Director,Quality,Standard,1,1.0,High,Priority 1,Online Ads,2024-09-30,2024,2024Q3,462
a0dPQ000001052LYAQ,0030c00002lNJlOAAW,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Not Enough Info Found,Non-manufacturing organization,Americas,Large,Senior Director of Laboratory Quality,Director,Quality,Standard,1,1.0,High,No Priority,Direct/Inbound,2024-06-07,2024,2024Q2,577
a0dPQ0000025njhYAA,0030c00002m33qPAAQ,1,Success,SQL,Mx,Mx,Pharma & BioTech,In-House,Animal Health,Americas,Medium,Director  Of Manufacturing science & technology,Director,Mfg/Ops,Standard,1,1.0,High,Priority 1,Directory Listing,2024-10-28,2024,2024Q4,434
a0dPQ000000DzTtYAK,0030c00002mUi2nAAC,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Animal Health,EMEA,Medium,Senior GMP Auditor,Other,Other,Standard,0,1.0,High,Priority 2,Email,2024-01-31,2024,2024Q1,705
a0dPQ000001YXYrYAO,0030c00002m2YSsAAM,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,Lab Instruments,Americas,Large,Sr. Regional Service Manager,Manager,Other,Regional,0,1.0,High,Priority 1,Direct/Inbound,2024-08-27,2024,2024Q3,496
a0dPQ000000AUxhYAG,0030c00002mWGf3AAG,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,Distribution / Wholesale,Non-manufacturing organization,Americas,Medium,VP - Scientific & Technical Services,VP,Other,Standard,1,1.0,High,No Priority,Email,2024-01-22,2024,2024Q1,714
a0dPQ000000oTJlYAM,0030c00002m47OSAAY,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,Americas,Medium,Quality Manager,Manager,Quality,Standard,0,1.0,High,Priority 1,Online Ads,2024-05-06,2024,2024Q2,609
a0dPQ000005w7cdYAA,0030c00002m47OSAAY,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Not Enough Info Found,Americas,Medium,Quality Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2025-06-26,2025,2025Q2,193
a0dPQ000005vCpZYAU,0030c00002mYep6AAC,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Specialty Chemical Manufacturing,EMEA,Medium,Quality System Officer,Other,Quality,Standard,0,1.0,High,Priority 2,Email,2025-06-26,2025,2025Q2,193
a0dPQ000000NigHYAS,0030c00002n7GS0AAM,0,Near-Miss,Recycled,Qx,Qx,Blood & Biologics,In-House,Plasmid DNA,Americas,Medium,Lab Manager,Manager,R&D,Standard,0,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ0000062qALYAY,0030c00002n8pAjAAI,1,Success,Won,Qx,Qx,Pharma & BioTech,Services / Consulting,Non-manufacturing organization,EMEA,Large,European QA System Administrator,Other,Quality,Standard,0,1.0,High,No Priority,Email,2025-06-30,2025,2025Q2,189
a0dPQ000008M7xWYAS,0030c00002n8pAjAAI,1,Success,SQO,Qx,Qx,Pharma & BioTech,Services / Consulting,Non-manufacturing organization,EMEA,Large,European QA System Administrator,Other,Quality,Standard,0,1.0,High,No Priority,Email,2025-09-03,2025,2025Q3,124
a0dPQ000000R7yHYAS,0030c00002n9fQGAAY,0,Near-Miss,Recycled,Qx,Qx,Medical Device,Unknown,Unknown,Americas,Medium,Manager Quality Assurance,Manager,Quality,Standard,0,0.6,Medium,Priority 2,Direct/Inbound,2024-02-29,2024,2024Q1,676
a0dPQ00000Cfk1dYAB,0030c00002n6MfYAAU,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Sterile injectables,EMEA,Medium,Senior Quality Assurance Specialist,IC,Quality,Standard,0,1.0,High,Priority 2,Online Ads,2025-11-17,2025,2025Q4,49
a0dPQ000003AZPNYA4,0030c00002n6o2UAAQ,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Not Enough Info Found,Americas,Medium,Director - Research & Development,Director,R&D,Standard,1,1.0,High,Priority 2,Directory Listing,2025-02-04,2025,2025Q1,335
a0dPQ000001SCLpYAO,0030c00002nYlgzAAC,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Animal Health,EMEA,Small,Director,Director,Other,Standard,1,1.0,High,Priority 1,Direct/Inbound,2024-08-14,2024,2024Q3,509
a0dPQ000000NiTNYA0,0030c00002nZCB4AAO,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Surgical instruments,Americas,Small,Chief Operating Officer,C-Suite,Other,Standard,1,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ000001VZKHYA4,0030c00002nZfe1AAC,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CDMO,Oral solid dosage (OSD),Americas,Medium,"Director, Quality Operations",Director,Quality,Standard,1,1.0,High,Priority 2,External Demand Gen,2024-08-21,2024,2024Q3,502
a0dPQ000000KanJYAS,0030c00002n9gsBAAQ,0,Near-Miss,Recycled,Qx,Qx,Blood & Biologics,Hospital Investigational Drug Unit,Non-manufacturing organization,Americas,Large,QMS manager,Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-02-15,2024,2024Q1,690
a0dPQ000000EJvdYAG,0030c00002nh9fdAAA,0,Near-Miss,Recycled,Qx,Qx,Non-Life Science,In-House,Food and beverage,Americas,Medium,,Unknown,Unknown,Unknown,0,1.0,High,Priority 2,Email,2024-01-31,2024,2024Q1,705
a0dPQ00000CAqUfYAL,0030c00002nYjGOAA0,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Lasers,Americas,Medium,"Manager, Regulatory Officer",Manager,Regulatory,Standard,0,1.0,High,No Priority,Outbound Prospecting,2025-11-11,2025,2025Q4,55
a0dPQ000001iyUXYAY,0030c00002nqzaPAAQ,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Dental instruments,Americas,Medium,Quality Engineer,IC,Quality,Standard,0,1.0,High,Priority 2,Email,2024-09-18,2024,2024Q3,474
a0dPQ000002UqWHYA0,0030c00002nqzaPAAQ,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,Dental instruments,Americas,Medium,Quality Engineer,IC,Quality,Standard,0,1.0,High,Priority 2,Email,2024-12-10,2024,2024Q4,391
a0dPQ0000021MmvYAE,0030c00002nsOqCAAU,0,Lost,Exclude,Qx,Qx,Non-Life Science,Services / Consulting,Non-manufacturing organization,Americas,Small,Director of Quality,Director,Quality,Standard,1,1.0,High,Priority 1,Referrals,2024-10-18,2024,2024Q4,444
a0dPQ000000YuUPYA0,0030c00002oO2GoAAK,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Cosmetics manufacturing,Americas,Large,"VP, Global Quality Center of Excellence",VP,Quality,Global,1,1.0,High,Priority 2,Email,2024-03-21,2024,2024Q1,655
a0dPQ000000kc0fYAA,0030c00002oO2GoAAK,1,Success,SQL,Qx,Qx,Pharma & BioTech,In-House,Cosmetics manufacturing,Americas,Large,"VP, Global Quality Center of Excellence",VP,Quality,Global,1,1.0,High,Priority 2,Email,2024-04-24,2024,2024Q2,621
